ID,iso_alpha,country,continent,income_group,life_expectancy,mean_years_of_schooling,cemission_per_cap,under_5_mortality_rate,prop_internet,whr_score,population,gni,gni_per_capita,ggei,pop_cat
110,MOZ,Mozambique,Africa,Low income,59.3247,3.197641838,0.42,68.1,16.5,,32077072,38430703521.0,1198.073924,0.424375,Greater than 10 million
111,MRT,Mauritania,Africa,Lower middle income,64.3636,4.918804891,1.04,72.1,40.8,,4614974,23422403898.0,5075.305711,0.38418619800000003,Greater than 10 million
112,MUS,Mauritius,Africa,Upper middle income,73.5552,10.42791048,4.5,14.8,64.9,60.1,1266060,27885409949.0,22025.34631,0.42401692700000004,Greater than 10 million
113,MWI,Malawi,Africa,Low income,62.9044,4.489695385,0.128,45.1,,,19889742,29151103289.0,1465.635064,0.48673177100000004,Greater than 10 million
114,MYS,Malaysia,Asia,Upper middle income,74.8839,10.64505959,7.32,7.38,89.6,60.1,33573874,895000000000.0,26657.94355,0.415494792,Greater than 10 million
115,NAM,Namibia,Africa,Upper middle income,59.269,7.192013277,3.65,36.8,41.0,44.5,2530151,21844069923.0,8633.504452,,Greater than 10 million
116,NCL,New Caledonia,Oceania,High income,,,,,,,271030,,,,Less than 10 million
117,NER,Niger,Africa,Low income,61.5763,2.116717299,0.42,77.7,,,25252722,31310015052.0,1239.866936,0.43358724,Greater than 10 million
118,NGA,Nigeria,Africa,Lower middle income,52.676,7.181074153,0.637,114.0,35.5,55.0,213401323,1020000000000.0,4790.284425,0.45387369800000005,Greater than 100 million
119,NIC,Nicaragua,North America,Lower middle income,73.8368,7.144,0.869,17.3,45.2,62.9,6850540,38532873514.0,5624.793595,0.449785156,Greater than 10 million
120,NLD,Netherlands,Europe,High income,81.6873,12.58162975,8.71,3.53,91.3,75.0,17533044,981000000000.0,55979.411,0.6854817710000001,Greater than 10 million
121,NOR,Norway,Europe,High income,83.2339,13.00362968,8.76,2.36,97.0,72.9,5408320,350000000000.0,64660.10622,0.747070313,Greater than 10 million
122,NPL,Nepal,Asia,Lower middle income,68.4495,5.121792742,0.849,29.8,37.7,59.8,30034989,116000000000.0,3877.315444,0.52297526,Greater than 10 million
123,NZL,New Zealand,Oceania,High income,82.4513,12.94468975,7.66,5.54,91.5,72.6,5122600,226000000000.0,44057.31394,0.646705729,Greater than 10 million
124,OMN,Oman,Asia,High income,72.5406,11.65404034,12.9,10.4,95.2,,4520471,122000000000.0,27054.32505,0.262050781,Greater than 10 million
125,PAK,Pakistan,Asia,Lower middle income,66.0979,4.536330223,1.01,66.6,25.0,46.2,231402117,1070000000000.0,4623.70543,0.342467448,Greater than 100 million
126,PAN,Panama,North America,High income,76.2233,10.54059029,3.71,14.6,64.3,,4351267,117000000000.0,26956.83707,0.53639974,Greater than 10 million
127,PER,Peru,South America,Upper middle income,72.3769,9.885518863,1.73,13.5,65.3,49.9,33715471,413000000000.0,12245.89366,0.51139974,Greater than 10 million
128,PHL,Philippines,Asia,Lower middle income,69.2664,8.969099998,1.5,27.2,49.8,50.8,113880328,1020000000000.0,8920.428468,0.465286458,Greater than 100 million
129,PNG,Papua New Guinea,Oceania,Lower middle income,65.3506,4.74,1.07,45.2,,,9949437,39883547696.0,4008.623573,,Greater than 10 million
130,POL,Poland,Europe,High income,76.4572,13.1647501,7.47,4.13,83.2,61.4,37747124,1250000000000.0,33033.96081,0.559342448,Greater than 10 million
131,PRI,Puerto Rico,North America,High income,,,,,,,3263584,,,,Greater than 10 million
132,PRT,Portugal,Europe,High income,81.0443,9.575940132,4.65,3.46,78.3,57.7,10325147,342000000000.0,33154.53343,0.7010091150000001,Greater than 10 million
133,PRY,Paraguay,South America,Upper middle income,70.2617,8.861840248,1.84,19.4,74.0,55.0,6703799,82787131138.0,12349.286,0.484980469,Greater than 10 million
134,PYF,French Polynesia,Oceania,High income,,,,,,,304032,,,,Less than 10 million
135,QAT,Qatar,Asia,High income,79.2716,9.99601145,25.8,6.49,99.7,,2688235,234000000000.0,87134.13469,0.433326823,Greater than 10 million
136,ROU,Romania,Europe,High income,74.1847,11.27511978,4.17,6.87,78.5,67.8,19119880,574000000000.0,30027.29131,0.6234375,Greater than 10 million
137,RUS,Russian Federation,Europe,Upper middle income,69.419,12.774288050000001,9.34,6.52,85.0,55.0,143449286,3900000000000.0,27166.30891,0.41400390600000003,Greater than 100 million
138,RWA,Rwanda,Africa,Low income,66.0722,4.425292358,0.165,32.0,26.5,,13461888,29748015512.0,2209.795202,0.5581966150000001,Greater than 10 million
139,SAU,Saudi Arabia,Asia,High income,76.936,11.31052971,18.3,6.49,97.9,65.6,35950396,1660000000000.0,46111.55135,0.314029948,Greater than 10 million
140,SDN,Sudan,Africa,Low income,65.2667,3.82,0.908,57.8,28.4,,45657202,163000000000.0,3575.19084,,Greater than 10 million
141,SEN,Senegal,Africa,Lower middle income,67.0926,2.937938258,0.9380000000000001,40.3,42.6,47.6,16876720,56441014263.0,3344.311825,0.40447916700000003,Greater than 10 million
142,SGP,Singapore,Asia,High income,82.7545,11.92488003,24.2,2.61,92.0,,5453566,496000000000.0,90918.64471,0.5141210940000001,Greater than 10 million
143,SLB,Solomon Islands,Oceania,Lower middle income,70.3477,5.711848,0.335,19.0,,,707851,1756540299.0,2481.511362,0.451757813,Less than 10 million
144,SLE,Sierra Leone,Africa,Low income,60.0624,4.576081285,0.16,99.0,18.0,,8420641,13654175305.0,1621.512579,,Greater than 10 million
145,SLV,El Salvador,North America,Lower middle income,70.7479,7.150929928,1.36,12.6,54.6,54.6,6314167,52380219799.0,8295.665889,0.515253906,Greater than 10 million
146,SOM,Somalia,Africa,Low income,55.2803,,0.42,117.0,,,17065581,17372212800.0,1017.96785,,Greater than 10 million
147,SRB,Serbia,Europe,Upper middle income,74.1923,11.36987019,5.29,5.16,78.4,60.4,6834326,131000000000.0,19123.02747,0.49541666700000003,Greater than 10 million
148,STP,Sao Tome and Principe,Africa,Lower middle income,67.5912,6.215599435,1.07,29.3,33.0,,223107,897191516.3,4021.350815,0.42381510400000005,Less than 10 million
149,SUR,Suriname,South America,Upper middle income,70.2743,9.77680063,3.5100000000000002,17.9,70.1,,612985,7767868719.0,12672.20033,,Less than 10 million
150,SVK,Slovak Republic,Europe,High income,74.9101,12.91141987,6.86,5.27,89.9,65.2,5447247,167000000000.0,30690.48552,0.6057617190000001,Greater than 10 million
151,SVN,Slovenia,Europe,High income,80.6904,12.80368042,8.9,2.07,86.6,64.6,2108079,83787749822.0,39746.01987,0.639414063,Greater than 10 million
152,SWE,Sweden,Europe,High income,82.9833,12.60972023,5.94,2.53,94.5,73.1,10415811,568000000000.0,54489.37401,0.79938151,Greater than 10 million
153,SYR,Syrian Arab Republic,Asia,Low income,72.0627,5.1,1.07,14.8,35.8,,21324367,89390336774.0,4191.933893,,Greater than 10 million
154,TCD,Chad,Africa,Low income,52.5254,2.57377421,0.247,114.0,10.4,,17179740,23436075900.0,1364.169417,0.379361979,Greater than 10 million
155,TGO,Togo,Africa,Low income,61.6194,5.016807367,0.835,66.2,24.0,,8644829,18730051299.0,2166.619062,0.471822917,Greater than 10 million
156,THA,Thailand,Asia,Upper middle income,78.7154,8.697119713,3.84,8.49,77.8,58.9,71601103,1220000000000.0,17030.15352,0.49450520800000003,Greater than 10 million
157,TJK,Tajikistan,Asia,Lower middle income,71.5942,11.3333938,1.35,32.5,,53.7,9750064,44340779719.0,4547.742427,0.376959635,Greater than 10 million
158,TKM,Turkmenistan,Asia,Upper middle income,69.2644,11.26139,3.59,44.4,,,6341855,82575489697.0,13020.7155,0.318248698,Greater than 10 million
159,TLS,Timor-Leste,Asia,Lower middle income,67.7369,5.43679,0.9570000000000001,42.7,29.1,,1320942,5892549793.0,4460.869435,0.516028646,Greater than 10 million
160,TON,Tonga,Oceania,Upper middle income,70.9857,11.392594,1.0,14.8,,,106017,723251287.0,6822.03125,0.45124349,Less than 10 million
161,TTO,Trinidad and Tobago,North America,High income,72.9709,11.61062419,17.3,17.5,,,1525663,35688340691.0,23392.02084,,Greater than 10 million
162,TUN,Tunisia,Africa,Lower middle income,73.7719,7.431598614,2.08,15.9,71.9,47.3,12262946,126000000000.0,10257.54477,0.40231119800000004,Greater than 10 million
163,TUR,Turkiye,Asia,Upper middle income,76.0324,8.63313961,4.78,9.73,77.7,48.6,84775404,2630000000000.0,31032.80106,,Greater than 10 million
164,TZA,Tanzania,Africa,Lower middle income,66.2007,6.37289871,0.28600000000000003,49.5,22.0,37.9,63588334,169000000000.0,2664.329096,0.483209635,Greater than 10 million
165,UGA,Uganda,Africa,Low income,62.7048,5.730941566,0.168,43.0,19.9,46.4,45853778,100000000000.0,2181.43651,,Greater than 10 million
166,UKR,Ukraine,Europe,Lower middle income,71.624,11.13142043,4.33,8.18,75.0,52.7,43792855,580000000000.0,13255.50977,0.48097005200000004,Greater than 10 million
167,URY,Uruguay,South America,High income,75.4356,8.982549667,2.95,7.2,86.1,63.1,3426260,72872716969.0,21268.88122,0.65766276,Greater than 10 million
168,USA,United States,North America,High income,77.1982,13.68342972,15.5,6.62,90.9,70.3,331893745,21500000000000.0,64765.21509,0.566848958,Greater than 100 million
169,UZB,Uzbekistan,Asia,Lower middle income,70.8616,11.89558983,2.04,20.3,71.1,58.4,34915100,276000000000.0,7916.785725,0.364277344,Greater than 10 million
170,VEN,Venezuela,South America,,70.5536,11.10727736,0.634,25.5,,45.7,28199867,136000000000.0,4810.882621,,Greater than 10 million
171,VNM,Vietnam,Asia,Lower middle income,73.6181,8.370280266,2.11,20.0,70.3,54.6,97468029,767000000000.0,7867.371345,0.499075521,Greater than 10 million
172,VUT,Vanuatu,Oceania,Lower middle income,70.449,7.064846,0.289,24.9,,,319137,984669012.3,3085.411633,0.476523438,Less than 10 million
173,WSM,Samoa,Oceania,Lower middle income,72.7675,11.4038,1.02,14.9,,,218764,1161189112.0,5307.953374,,Less than 10 million
174,ZAF,South Africa,Africa,Upper middle income,62.341,11.37316036,5.14,32.1,70.0,49.5,59392255,769000000000.0,12948.37325,0.372447917,Greater than 10 million
175,ZMB,Zambia,Africa,Low income,61.2234,7.187091494,0.391,54.5,19.8,48.4,19473125,62659993403.0,3217.767739,0.438196615,Greater than 10 million
176,ZWE,Zimbabwe,Africa,Lower middle income,59.2531,8.710908501,0.741,43.1,29.3,31.6,15993524,60933521699.0,3809.887158,,Greater than 10 million
78,IRL,Ireland,Europe,High income,81.9976,11.58222303,8.82,3.19,92.0,70.3,5033165,383000000000.0,76168.98443,0.7034049480000001,Greater than 10 million
58,FSM,Micronesia,Oceania,Lower middle income,70.71,7.804956,0.669,29.3,,,113131,418151854.6,3696.173945,0.43700520800000003,Less than 10 million
52,ESP,Spain,Europe,High income,83.01,10.60540009,5.35,2.84,93.2,65.0,47415750,1820000000000.0,38353.60164,0.6886263020000001,Greater than 10 million
169,UZB,Uzbekistan,Asia,Lower middle income,70.8616,11.89558983,2.04,20.3,71.1,58.4,34915100,276000000000.0,7916.785725,0.364277344,Greater than 10 million
47,DOM,Dominican Republic,North America,Upper middle income,72.6146,9.306864107,2.86,27.7,76.9,51.7,11117873,200000000000.0,17989.60037,0.541998698,Greater than 10 million
122,NPL,Nepal,Asia,Lower middle income,68.4495,5.121792742,0.849,29.8,37.7,59.8,30034989,116000000000.0,3877.315444,0.52297526,Greater than 10 million
148,STP,Sao Tome and Principe,Africa,Lower middle income,67.5912,6.215599435,1.07,29.3,33.0,,223107,897191516.3,4021.350815,0.42381510400000005,Less than 10 million
50,EGY,Egypt,Africa,Lower middle income,70.2207,9.573026174,2.25,19.8,71.9,44.7,109262178,1280000000000.0,11731.69056,0.356946615,Greater than 100 million
52,ESP,Spain,Europe,High income,83.01,10.60540009,5.35,2.84,93.2,65.0,47415750,1820000000000.0,38353.60164,0.6886263020000001,Greater than 10 million
91,LBN,Lebanon,Asia,Lower middle income,75.0472,8.718636,3.32,7.32,84.1,26.3,5592631,53274460363.0,9525.831467,0.388808594,Greater than 10 million
150,SVK,Slovak Republic,Europe,High income,74.9101,12.91141987,6.86,5.27,89.9,65.2,5447247,167000000000.0,30690.48552,0.6057617190000001,Greater than 10 million
69,GTM,Guatemala,North America,Upper middle income,69.2368,5.681300163,1.23,24.3,50.0,,17109746,149000000000.0,8723.285317,0.49889974000000004,Greater than 10 million
41,CUB,Cuba,North America,Upper middle income,73.6829,12.49773438,3.07,4.82,74.0,,11256372,88687238189.0,7878.847482,,Greater than 10 million
77,IND,India,Asia,Lower middle income,67.2398,6.655109195,1.6300000000000001,33.9,43.0,42.2,1407563842,9280000000000.0,6589.980037,0.394114583,Greater than 100 million
174,ZAF,South Africa,Africa,Upper middle income,62.341,11.37316036,5.14,32.1,70.0,49.5,59392255,769000000000.0,12948.37325,0.372447917,Greater than 10 million
42,CYP,Cyprus,Asia,High income,81.2033,12.44017029,5.48,2.22,90.8,62.6,1244188,47513575794.0,38188.42152,0.612636719,Greater than 10 million
12,BEL,Belgium,Europe,High income,81.8787,12.37567997,15.4,3.38,91.5,68.4,11592952,606000000000.0,52293.39977,0.692526042,Greater than 10 million
3,AGO,Angola,Africa,Lower middle income,61.6434,5.417390823,1.03,72.3,36.0,,34503774,189000000000.0,5465.617791,,Greater than 10 million
94,LKA,Sri Lanka,Asia,Lower middle income,76.3991,10.82730007,1.69,6.97,35.0,47.8,22156000,279000000000.0,12578.22055,0.48020833300000004,Greater than 10 million
52,ESP,Spain,Europe,High income,83.01,10.60540009,5.35,2.84,93.2,65.0,47415750,1820000000000.0,38353.60164,0.6886263020000001,Greater than 10 million
52,ESP,Spain,Europe,High income,83.01,10.60540009,5.35,2.84,93.2,65.0,47415750,1820000000000.0,38353.60164,0.6886263020000001,Greater than 10 million
28,CAF,Central African Republic,Africa,Low income,53.8947,4.334,1.08,110.0,10.4,,5457154,5271930612.0,966.0586107,0.395722656,Greater than 10 million
89,KHM,Cambodia,Asia,Lower middle income,69.5835,5.088,2.35,25.9,,43.8,16589023,67661600898.0,4078.697154,0.486451823,Greater than 10 million
42,CYP,Cyprus,Asia,High income,81.2033,12.44017029,5.48,2.22,90.8,62.6,1244188,47513575794.0,38188.42152,0.612636719,Greater than 10 million
51,ERI,Eritrea,Africa,Low income,66.5358,4.8872352,0.16,37.8,,,3620312,6258587822.0,1728.742667,,Greater than 10 million
